COORD,A0,E0,A4,E4
C2,-79,-76,-84,-81
C2,-79,-76,-84,-81
C2,-79,-76,-84,-81
C2,-79,-76,-84,-81
C0,-80,-81,-84,-84
C0,-80,-81,-84,-84
C0,-80,-81,-84,-84
C0,-80,-80,-84,-84
C0,-80,-80,-84,-84
C0,-75,-76,-84,-84
C0,-75,-76,-84,-84
D0,-80,-74,-84,-84
D0,-80,-74,-84,-84
D0,-80,-74,-84,-84
D0,-80,-74,-84,-84
D0,-80,-74,-84,-84
D0,-80,-74,-84,-84
D0,-80,-74,-84,-84
D0,-80,-74,-84,-84
D0,-80,-74,-84,-84
D1,-80,-74,-84,-82
D1,-80,-74,-84,-82
D1,-80,-74,-84,-82
D1,-80,-74,-84,-82
D1,-80,-74,-84,-82
D1,-80,-74,-84,-82
D1,-80,-74,-84,-82
D1,-80,-74,-84,-82
D3,-80,-82,-83,-81
D3,-80,-82,-83,-81
D3,-80,-82,-83,-81
D3,-80,-82,-83,-81
D3,-80,-82,-83,-81
D3,-80,-82,-83,-81
D3,-80,-82,-83,-81
D3,-80,-82,-83,-81
D3,-80,-82,-83,-81
D3,-80,-82,-81,-81
D3,-80,-82,-81,-81
D3,-80,-82,-78,-78
D3,-80,-82,-78,-78
D4,-84,-86,-77,-79
D4,-84,-86,-77,-79
D4,-84,-86,-80,-79
D4,-84,-86,-80,-79
D4,-84,-86,-80,-79
D4,-84,-86,-80,-79
D4,-84,-78,-80,-85
D4,-84,-78,-80,-85
E4,-85,-82,-85,-68
E4,-85,-82,-85,-68
E4,-85,-82,-85,-69
E4,-85,-82,-85,-69
E4,-85,-86,-85,-83
E4,-85,-86,-85,-83
E3,-85,-77,-82,-75
E3,-85,-77,-82,-75
E3,-85,-82,-82,-74
E3,-85,-82,-82,-74
E3,-85,-82,-82,-74
E3,-85,-82,-82,-74
E3,-85,-82,-82,-74
E3,-82,-79,-82,-83
E3,-82,-79,-82,-83
E2,-82,-87,-82,-85
E2,-82,-87,-82,-85
E2,-82,-87,-82,-85
E2,-82,-87,-82,-85
E2,-82,-79,-83,-82
E2,-82,-79,-83,-82
E1,-82,-75,-83,-84
E1,-82,-89,-83,-84
E1,-82,-89,-83,-84
E1,-82,-89,-83,-84
E1,-82,-89,-83,-84
E1,-82,-89,-83,-84
E0,-81,-73,-81,-85
E0,-81,-73,-81,-85
E0,-81,-73,-81,-85
E0,-81,-68,-81,-85
E0,-81,-71,-83,-85
E0,-81,-76,-83,-85
E0,-81,-76,-83,-85
E0,-81,-79,-83,-85
E0,-81,-79,-83,-85
E0,-82,-76,-83,-85
E0,-82,-76,-83,-85
E4,-73,-79,-80,-69
E4,-73,-79,-80,-69
E4,-73,-79,-80,-69
E4,-73,-79,-80,-80
E4,-73,-79,-80,-80
E4,-73,-83,-85,-77
E3,-80,-80,-80,-74
E3,-80,-80,-80,-74
E3,-80,-80,-80,-74
E3,-80,-80,-80,-74
E3,-80,-80,-80,-74
E2,-80,-80,-80,-74
E2,-80,-80,-80,-74
E2,-85,-85,-79,-85
E2,-85,-85,-79,-85
E2,-85,-85,-79,-85
E2,-85,-77,-79,-86
E2,-85,-76,-79,-86
E1,-84,-79,-84,-82
E1,-84,-74,-84,-85
E1,-84,-74,-84,-85
E1,-84,-80,-84,-85
E1,-84,-76,-84,-79
E1,-84,-76,-84,-79
E0,-83,-63,-84,-83
E0,-83,-63,-84,-83
E0,-83,-63,-84,-83
E0,-83,-63,-84,-83
D0,-83,-83,-86,-83
D0,-83,-83,-86,-83
D1,-84,-83,-86,-84
D1,-84,-83,-86,-84
D1,-84,-83,-86,-84
D2,-84,-83,-87,-80
D2,-84,-83,-87,-80
D3,-84,-81,-78,-84
D3,-84,-81,-78,-81
D4,-84,-81,-79,-82
D4,-84,-81,-79,-82
D4,-84,-81,-79,-82
C4,-82,-72,-82,-82
