COORD,A0,E0,A4,E4
E3,-89,-78,-82,-84
E3,-89,-78,-82,-84
E3,-89,-78,-82,-84
E3,-83,-78,-82,-84
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E3,-82,-85,-85,-83
E3,-82,-85,-85,-83
E3,-83,-85,-85,-83
E3,-84,-84,-85,-83
E3,-84,-84,-85,-83
E3,-84,-84,-85,-83
E3,-84,-84,-85,-83
E3,-84,-84,-85,-83
E3,-81,-84,-85,-83
E3,-81,-85,-85,-83
E3,-81,-85,-85,-83
E3,-81,-85,-85,-83
E3,-80,-85,-85,-84
E3,-80,-85,-85,-84
E3,-81,-84,-85,-84
E3,-81,-84,-85,-84
E3,-81,-84,-85,-84
E3,-81,-84,-85,-84
E3,-81,-84,-85,-84
E4,-86,-79,-85,-74
E4,-86,-79,-85,-74
E4,-84,-79,-85,-65
E4,-84,-79,-85,-78
E4,-84,-79,-85,-78
E4,-84,-79,-85,-83
E4,-84,-79,-85,-83
E4,-84,-79,-85,-83
E4,-84,-79,-85,-83
E4,-84,-79,-85,-83
E4,-84,-79,-85,-83
E4,-84,-79,-85,-82
E4,-84,-79,-85,-82
E4,-84,-79,-85,-76
E4,-84,-79,-85,-76
E4,-84,-79,-85,-79
E4,-84,-79,-85,-79
E4,-84,-79,-85,-69
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E0,-84,-64,-81,-84
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E4,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E3,-79,-83,-87,-72
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E2,-79,-81,-87,-81
E1,-79,-77,-87,-78
E1,-79,-77,-87,-78
E1,-79,-79,-87,-84
E1,-79,-80,-87,-84
E1,-79,-80,-87,-84
E1,-79,-80,-87,-84
E1,-79,-80,-87,-84
E1,-79,-79,-87,-84
E1,-79,-79,-87,-84
E1,-79,-79,-87,-84
E1,-79,-79,-87,-84
E1,-79,-79,-87,-84
E1,-79,-79,-87,-84
E1,-79,-79,-87,-84
E0,-79,-79,-87,-85
E0,-79,-79,-87,-85
E0,-79,-75,-87,-83
E0,-79,-75,-87,-83
E0,-79,-75,-87,-83
E0,-79,-75,-87,-83
E0,-79,-75,-87,-83
E0,-79,-75,-87,-83
E0,-79,-75,-87,-83
E0,-79,-75,-87,-83
E0,-79,-75,-87,-83
E0,-79,-75,-87,-83
E0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
